Timestamp,Tweet
2025-03-10 11:32:21+00:00,Madaxweyne William Ruto ayaa si rasmi ah u daahfuray Kulliyadda Farsamada iyo Tacliinta Farsamada ee Kamukunji ee Nairobi. https://t.co/PVR9tRgMmi
2025-03-10 11:32:12+00:00,"Sina ubaya Lakini mbona Ivi sasa Kairo . Ama Kairo ni wa Street.

|President William Ruto|Lucky Dube|Arati|Onyonka|Ndindi Nyoro|Eastleigh|Kisii|Nairobi River|Gusii|Ajira Kwa vijana|Raila| 
#ClimateWaksMtaani 
#HousingClimateWorx https://t.co/QZM8nxdOob"
2025-03-10 11:32:08+00:00,"Musangalire!!! 😆😁😆😁 Muli mwoyo! Muli bhalamu!!
Iko ngumi  hapa
Rashid Eshesa - Former Boxer
Vs
Peter Salasya - Sisal Dancer
😁😆😁

Onyonka Uhuru Kenyatta Oscar Sudi President  William Ruto Nairobi River Ndindi Nyoro Jeses Winner https://t.co/rFPzejSQX2"
2025-03-10 11:31:28+00:00,"Going forward, this will be President William Ruto's reception almost everywhere, why? Gen Z's.

Gen Z was a movement, it should NEVER have been bought no matter the price.

See Eastleigh Nairobi, Kisii was hot porridge that one party prepared for while the other didn't! https://t.co/OfBuHwThDX"
2025-03-10 11:31:22+00:00,"Wee watu waliamua je huko Eastleigh. Kutoa Ruto ni maybe tu Mungu.

|President William Ruto|Lucky Dube|Arati|Onyonka|Ndindi Nyoro|Eastleigh|Kisii|Nairobi River|Gusii|Ajira Kwa vijana|Raila| 
#ClimateWaksMtaani 
#HousingClimateWorx https://t.co/RfSYUr1c9e"
2025-03-10 11:30:38+00:00,"Rais William Ruto avutia umati mkubwa katika ziara ya maendeleo maeneo ya Kamukunji, Nairobi

Pata yanayojiri https://t.co/eL5WLnoG0i https://t.co/nJWupIAX5O"
2025-03-10 11:30:22+00:00,Who has paid the crowd in Kamkunji that is keenly listening to president William Ruto? Bwana Gen Z should occupy Kamkunji.
2025-03-10 11:30:21+00:00,"What do you learnt from this picture.

|President William Ruto|Lucky Dube|Arati|Onyonka|Ndindi Nyoro|Eastleigh|Kisii|Nairobi River|Gusii|Ajira Kwa vijana|Raila| 
#ClimateWaksMtaani 
#HousingClimateWorx https://t.co/EDpFtc7adB"
2025-03-10 11:30:00+00:00,President William Ruto MUST GO ON! From 9.6% inflation in October 2022 to 3.0% in December 2024Kenya is making progress But how does it compare to other African countries? Is Kenya really leading the way? #KenyaEconomy https://t.co/xjFLlIaw3V
2025-03-10 11:30:00+00:00,President William Ruto officially opens the Kamkunji Technical and Vocational College. https://t.co/GIPLvhe1iF
